Category,Level,User Query,Bot Response
Eating Disorder,Mild,I feel guilty after eating certain foods.,You're not alone in feeling this way. Exploring this with someone trained can help you build a more compassionate relationship with food.
Eating Disorder,Mild,I’ve started monitoring everything I eat to stay in control.,"Being aware of nutrition is good, but it shouldn't feel like pressure. A therapist or dietitian could help you keep things healthy."
Eating Disorder,Moderate,I obsess over calories and punish myself if I eat too much.,That sounds really hard. It’s okay to ask for help—there are specialists who truly understand eating disorders.
Eating Disorder,Moderate,Sometimes I avoid meals or purge because I feel ashamed of eating.,That sounds very painful. You're not alone—support from a therapist can help you heal your relationship with food.
Eating Disorder,Moderate,Sometimes I avoid meals or purge because I feel ashamed of eating.,That sounds very painful. You're not alone—support from a therapist can help you heal your relationship with food.
Eating Disorder,Moderate,Sometimes I avoid meals or purge because I feel ashamed of eating.,That sounds very painful. You're not alone—support from a therapist can help you heal your relationship with food.
Eating Disorder,Moderate,I obsess over calories and punish myself if I eat too much.,That sounds really hard. It’s okay to ask for help—there are specialists who truly understand eating disorders.
Eating Disorder,Severe,I feel like I’m disappearing and I don’t care anymore.,"I’m really sorry you’re feeling this way. You are important, and support is available—please don’t hesitate to reach out."
Eating Disorder,Severe,I feel like I’m disappearing and I don’t care anymore.,"I’m really sorry you’re feeling this way. You are important, and support is available—please don’t hesitate to reach out."
Eating Disorder,Severe,I constantly restrict food and feel faint most days.,That sounds really serious. Please know you deserve care and nourishment—consider seeing a medical professional soon.
Eating Disorder,Severe,I feel like I’m disappearing and I don’t care anymore.,"I’m really sorry you’re feeling this way. You are important, and support is available—please don’t hesitate to reach out."
Eating Disorder,Severe,I feel like I’m disappearing and I don’t care anymore.,"I’m really sorry you’re feeling this way. You are important, and support is available—please don’t hesitate to reach out."
